payment_id,order_id,payment_method,payment_status,payment_date
PAY004928,O004928,Mobile Payment,Completed,2023-10-23 00:32:26
PAY007474,O007474,Mobile Payment,Completed,2023-10-23 02:31:53
PAY004095,O004095,Credit Card,Completed,2023-10-23 05:26:35
PAY002157,O002157,Mobile Payment,Completed,2023-10-23 08:04:07
PAY001214,O001214,Mobile Payment,Completed,2023-10-23 11:11:27
PAY000676,O000676,Mobile Payment,Completed,2023-10-23 15:59:00
PAY006845,O006845,Credit Card,Completed,2023-10-23 17:58:15
PAY005844,O005844,Bank Transfer,Completed,2023-10-23 18:02:32
PAY009521,O009521,Mobile Payment,Completed,2023-10-23 20:20:02
PAY000628,O000628,Mobile Payment,Completed,2023-10-23 20:44:59
PAY004425,O004425,Mobile Payment,Completed,2023-10-23 21:09:22
PAY000098,O000098,Mobile Payment,Completed,2023-10-23 21:46:41
PAY002621,O002621,Credit Card,Completed,2023-10-23 23:09:14
PAY002089,O002089,Mobile Payment,Completed,2023-10-24 03:19:21
PAY005804,O005804,Credit Card,Completed,2023-10-24 05:03:32
PAY002092,O002092,Bank Transfer,Failed,
PAY000991,O000991,Mobile Payment,Completed,2023-10-24 08:12:40
PAY008438,O008438,Mobile Payment,Completed,2023-10-24 09:49:16
PAY005585,O005585,Credit Card,Completed,2023-10-24 10:04:23
PAY006917,O006917,Mobile Payment,Completed,2023-10-24 13:27:36
PAY000203,O000203,Bank Transfer,Completed,2023-10-24 15:22:40
PAY007951,O007951,Bank Transfer,Completed,2023-10-24 15:36:56
PAY003956,O003956,Credit Card,Completed,2023-10-24 16:09:43
PAY003769,O003769,Mobile Payment,Completed,2023-10-24 18:50:06
PAY004996,O004996,Mobile Payment,Completed,2023-10-24 19:16:49
PAY001043,O001043,Credit Card,Completed,2023-10-24 19:33:09
PAY007316,O007316,Mobile Payment,Completed,2023-10-24 21:39:35
PAY000595,O000595,Bank Transfer,Completed,2023-10-24 22:06:29
PAY000935,O000935,Bank Transfer,Completed,2023-10-25 01:06:44
PAY009292,O009292,Mobile Payment,Completed,2023-10-25 01:44:50
PAY005075,O005075,Mobile Payment,Completed,2023-10-25 01:47:26
PAY004661,O004661,Credit Card,Completed,2023-10-25 03:21:20
PAY009791,O009791,Bank Transfer,Completed,2023-10-25 03:24:12
PAY008954,O008954,Credit Card,Completed,2023-10-25 06:03:59
PAY004579,O004579,Credit Card,Completed,2023-10-25 07:39:38
PAY006813,O006813,Mobile Payment,Completed,2023-10-25 08:57:28
PAY000849,O000849,Credit Card,Completed,2023-10-25 09:37:57
PAY008287,O008287,Credit Card,Completed,2023-10-25 12:08:49
PAY008669,O008669,Bank Transfer,Completed,2023-10-25 12:10:57
PAY007706,O007706,Bank Transfer,Completed,2023-10-25 14:50:19
PAY002835,O002835,Bank Transfer,Completed,2023-10-25 15:55:01
PAY006618,O006618,Mobile Payment,Completed,2023-10-25 18:59:50
PAY003211,O003211,Mobile Payment,Completed,2023-10-26 00:07:25
PAY005162,O005162,Credit Card,Completed,2023-10-26 01:04:52
PAY008637,O008637,Mobile Payment,Pending,
PAY008167,O008167,Credit Card,Completed,2023-10-26 02:07:28
PAY001648,O001648,Mobile Payment,Completed,2023-10-26 03:39:05
PAY001951,O001951,Bank Transfer,Completed,2023-10-26 07:24:38
PAY003526,O003526,Mobile Payment,Completed,2023-10-26 15:41:11
PAY001682,O001682,Credit Card,Completed,2023-10-26 16:29:17
PAY000269,O000269,Credit Card,Completed,2023-10-26 18:22:34
PAY004245,O004245,Credit Card,Completed,2023-10-26 20:04:30
PAY008358,O008358,Mobile Payment,Completed,2023-10-26 20:18:15
PAY006511,O006511,Bank Transfer,Completed,2023-10-27 02:32:36
PAY000359,O000359,Credit Card,Completed,2023-10-27 05:13:56
PAY008262,O008262,Bank Transfer,Completed,2023-10-27 05:38:15
PAY007913,O007913,Bank Transfer,Completed,2023-10-27 06:30:55
PAY008748,O008748,Bank Transfer,Failed,
PAY001187,O001187,Credit Card,Completed,2023-10-27 14:43:40
PAY001649,O001649,Bank Transfer,Completed,2023-10-27 14:43:10
PAY003734,O003734,Credit Card,Completed,2023-10-27 20:02:02
PAY003403,O003403,Credit Card,Completed,2023-10-27 23:42:39
PAY004352,O004352,Bank Transfer,Failed,
PAY002255,O002255,Mobile Payment,Pending,
PAY009628,O009628,Bank Transfer,Completed,2023-10-28 00:13:36
PAY003268,O003268,Credit Card,Completed,2023-10-28 04:12:52
PAY003841,O003841,Mobile Payment,Completed,2023-10-28 04:16:37
PAY004635,O004635,Mobile Payment,Completed,2023-10-28 06:55:46
PAY006722,O006722,Mobile Payment,Completed,2023-10-28 06:59:58
PAY008173,O008173,Bank Transfer,Completed,2023-10-28 08:15:01
PAY004918,O004918,Credit Card,Completed,2023-10-28 09:02:34
PAY001457,O001457,Bank Transfer,Completed,2023-10-28 11:43:50
PAY002012,O002012,Bank Transfer,Completed,2023-10-28 17:26:03
PAY000817,O000817,Credit Card,Completed,2023-10-28 17:35:14
PAY003714,O003714,Mobile Payment,Completed,2023-10-28 18:32:26
PAY004237,O004237,Bank Transfer,Completed,2023-10-29 01:30:18
PAY009206,O009206,Credit Card,Completed,2023-10-29 03:44:09
PAY003320,O003320,Bank Transfer,Completed,2023-10-29 07:07:43
PAY000763,O000763,Bank Transfer,Completed,2023-10-29 07:42:04
PAY008197,O008197,Mobile Payment,Completed,2023-10-29 07:39:56
PAY003589,O003589,Bank Transfer,Completed,2023-10-29 08:51:14
PAY007320,O007320,Mobile Payment,Completed,2023-10-29 10:40:43
PAY003048,O003048,Credit Card,Completed,2023-10-29 10:55:23
PAY009479,O009479,Bank Transfer,Completed,2023-10-29 11:16:08
PAY007806,O007806,Mobile Payment,Completed,2023-10-29 12:20:31
PAY005083,O005083,Mobile Payment,Completed,2023-10-29 12:24:05
PAY009927,O009927,Credit Card,Completed,2023-10-29 13:08:35
PAY002496,O002496,Mobile Payment,Completed,2023-10-29 13:20:42
PAY001940,O001940,Credit Card,Completed,2023-10-29 13:48:09
PAY003843,O003843,Credit Card,Completed,2023-10-29 14:24:33
PAY002015,O002015,Bank Transfer,Completed,2023-10-29 15:12:35
PAY003213,O003213,Credit Card,Completed,2023-10-29 19:00:20
PAY005674,O005674,Mobile Payment,Completed,2023-10-30 06:31:26
PAY002878,O002878,Credit Card,Completed,2023-10-30 06:00:41
PAY005733,O005733,Bank Transfer,Failed,
PAY005265,O005265,Bank Transfer,Completed,2023-10-30 07:48:36
PAY006558,O006558,Mobile Payment,Completed,2023-10-30 11:18:59
PAY004724,O004724,Mobile Payment,Failed,
PAY008459,O008459,Bank Transfer,Completed,2023-10-30 15:35:22
PAY007292,O007292,Mobile Payment,Completed,2023-10-30 16:17:29
PAY006754,O006754,Bank Transfer,Completed,2023-10-30 17:01:15
PAY005829,O005829,Credit Card,Completed,2023-10-30 17:52:09
PAY007357,O007357,Mobile Payment,Failed,
PAY006044,O006044,Bank Transfer,Completed,2023-10-30 21:12:29
PAY001582,O001582,Bank Transfer,Completed,2023-10-31 00:56:31
PAY008389,O008389,Mobile Payment,Completed,2023-10-31 03:36:10
PAY005897,O005897,Mobile Payment,Completed,2023-10-31 04:31:12
PAY007578,O007578,Mobile Payment,Completed,2023-10-31 06:39:30
PAY005618,O005618,Credit Card,Completed,2023-10-31 08:18:25
PAY004821,O004821,Mobile Payment,Completed,2023-10-31 17:09:26
PAY006022,O006022,Credit Card,Completed,2023-10-31 19:10:56
PAY009617,O009617,Bank Transfer,Completed,2023-11-01 04:05:43
PAY005873,O005873,Bank Transfer,Completed,2023-11-01 07:21:39
PAY005307,O005307,Mobile Payment,Completed,2023-11-01 07:47:57
PAY004899,O004899,Credit Card,Pending,
PAY002482,O002482,Mobile Payment,Completed,2023-11-01 08:45:12
PAY008937,O008937,Bank Transfer,Completed,2023-11-01 09:23:59
PAY004596,O004596,Credit Card,Completed,2023-11-01 10:18:20
PAY005206,O005206,Mobile Payment,Completed,2023-11-01 12:47:39
PAY003957,O003957,Bank Transfer,Completed,2023-11-01 13:16:14
PAY003360,O003360,Mobile Payment,Completed,2023-11-01 15:27:45
PAY007648,O007648,Bank Transfer,Completed,2023-11-01 20:28:48
PAY003817,O003817,Credit Card,Completed,2023-11-02 00:11:52
PAY005321,O005321,Credit Card,Completed,2023-11-02 12:06:33
PAY009485,O009485,Credit Card,Completed,2023-11-02 12:13:49
PAY007279,O007279,Bank Transfer,Completed,2023-11-02 13:31:18
PAY008523,O008523,Mobile Payment,Completed,2023-11-02 13:42:52
PAY000276,O000276,Bank Transfer,Completed,2023-11-02 14:39:57
PAY008740,O008740,Credit Card,Completed,2023-11-02 15:43:31
PAY008611,O008611,Mobile Payment,Completed,2023-11-02 15:26:41
PAY008618,O008618,Mobile Payment,Completed,2023-11-02 16:18:27
PAY002348,O002348,Mobile Payment,Completed,2023-11-02 17:57:38
PAY003692,O003692,Bank Transfer,Completed,2023-11-03 00:40:28
PAY002048,O002048,Credit Card,Completed,2023-11-03 01:52:06
PAY005923,O005923,Bank Transfer,Completed,2023-11-03 06:40:41
PAY008144,O008144,Bank Transfer,Pending,
PAY004159,O004159,Bank Transfer,Completed,2023-11-03 12:37:13
PAY000285,O000285,Credit Card,Completed,2023-11-03 17:44:23
PAY009522,O009522,Mobile Payment,Completed,2023-11-03 18:30:29
PAY001193,O001193,Bank Transfer,Completed,2023-11-03 22:13:43
PAY007391,O007391,Credit Card,Completed,2023-11-03 22:24:15
PAY007728,O007728,Bank Transfer,Completed,2023-11-03 23:16:08
PAY008670,O008670,Credit Card,Completed,2023-11-04 02:30:07
PAY009028,O009028,Credit Card,Completed,2023-11-04 02:21:05
PAY003687,O003687,Mobile Payment,Completed,2023-11-04 02:38:24
PAY008921,O008921,Mobile Payment,Completed,2023-11-04 03:53:35
PAY002159,O002159,Mobile Payment,Completed,2023-11-04 05:40:34
PAY005178,O005178,Credit Card,Completed,2023-11-04 06:31:33
PAY002931,O002931,Bank Transfer,Completed,2023-11-04 08:54:46
PAY000259,O000259,Bank Transfer,Completed,2023-11-04 12:02:44
PAY006410,O006410,Bank Transfer,Completed,2023-11-04 13:27:39
PAY009583,O009583,Credit Card,Completed,2023-11-04 13:44:41
PAY003941,O003941,Mobile Payment,Completed,2023-11-04 14:55:55
PAY005053,O005053,Mobile Payment,Completed,2023-11-04 14:56:25
PAY008813,O008813,Mobile Payment,Completed,2023-11-04 16:25:05
PAY000858,O000858,Credit Card,Completed,2023-11-04 17:26:31
PAY000995,O000995,Credit Card,Completed,2023-11-04 18:18:52
PAY002397,O002397,Bank Transfer,Pending,
PAY007887,O007887,Bank Transfer,Completed,2023-11-04 22:55:37
PAY003126,O003126,Mobile Payment,Completed,2023-11-05 00:55:03
PAY007210,O007210,Bank Transfer,Completed,2023-11-05 03:57:11
PAY001629,O001629,Credit Card,Pending,
PAY003980,O003980,Mobile Payment,Completed,2023-11-05 07:00:23
PAY005821,O005821,Bank Transfer,Pending,
PAY005872,O005872,Mobile Payment,Completed,2023-11-05 12:42:35
PAY003193,O003193,Bank Transfer,Completed,2023-11-05 16:08:47
PAY003071,O003071,Credit Card,Completed,2023-11-05 17:51:48
PAY000253,O000253,Bank Transfer,Completed,2023-11-05 20:15:09
PAY008127,O008127,Mobile Payment,Completed,2023-11-05 21:11:53
PAY000696,O000696,Credit Card,Completed,2023-11-05 21:13:51
PAY007610,O007610,Credit Card,Completed,2023-11-05 23:46:28
PAY006993,O006993,Credit Card,Completed,2023-11-06 00:11:56
PAY000335,O000335,Bank Transfer,Completed,2023-11-06 00:48:15
PAY006425,O006425,Mobile Payment,Completed,2023-11-06 01:57:37
PAY002065,O002065,Mobile Payment,Completed,2023-11-06 02:03:22
PAY007780,O007780,Credit Card,Completed,2023-11-06 07:54:22
PAY005045,O005045,Credit Card,Completed,2023-11-06 09:51:31
PAY000131,O000131,Mobile Payment,Completed,2023-11-06 09:57:27
PAY000467,O000467,Mobile Payment,Completed,2023-11-06 10:42:52
PAY001929,O001929,Mobile Payment,Completed,2023-11-06 10:58:22
PAY009804,O009804,Bank Transfer,Completed,2023-11-06 14:08:51
PAY009111,O009111,Mobile Payment,Completed,2023-11-06 15:15:42
PAY005423,O005423,Credit Card,Completed,2023-11-06 17:53:36
PAY008056,O008056,Mobile Payment,Completed,2023-11-06 18:27:06
PAY005779,O005779,Credit Card,Completed,2023-11-06 21:44:38
PAY000955,O000955,Bank Transfer,Completed,2023-11-07 00:48:15
PAY005405,O005405,Mobile Payment,Pending,
PAY000293,O000293,Bank Transfer,Completed,2023-11-07 04:46:42
PAY007574,O007574,Bank Transfer,Completed,2023-11-07 05:37:57
PAY003257,O003257,Credit Card,Completed,2023-11-07 09:13:51
PAY001939,O001939,Bank Transfer,Completed,2023-11-07 10:41:29
PAY007070,O007070,Bank Transfer,Completed,2023-11-07 12:39:23
PAY000597,O000597,Credit Card,Completed,2023-11-07 13:09:10
PAY003491,O003491,Mobile Payment,Completed,2023-11-07 17:04:17
PAY008754,O008754,Mobile Payment,Completed,2023-11-07 17:30:14
PAY008434,O008434,Bank Transfer,Pending,
PAY006655,O006655,Credit Card,Completed,2023-11-08 03:14:11
PAY003179,O003179,Credit Card,Completed,2023-11-08 03:01:27
PAY009805,O009805,Credit Card,Completed,2023-11-08 04:44:52
PAY002410,O002410,Credit Card,Completed,2023-11-08 11:38:49
PAY004633,O004633,Credit Card,Completed,2023-11-08 12:14:55
PAY006080,O006080,Bank Transfer,Completed,2023-11-08 12:06:40
PAY009506,O009506,Bank Transfer,Completed,2023-11-08 12:47:52
PAY004738,O004738,Bank Transfer,Completed,2023-11-08 13:14:23
PAY000521,O000521,Credit Card,Completed,2023-11-08 14:04:20
PAY001745,O001745,Bank Transfer,Completed,2023-11-08 16:57:23
PAY007553,O007553,Bank Transfer,Completed,2023-11-08 18:45:29
PAY003235,O003235,Mobile Payment,Completed,2023-11-08 18:52:17
PAY008729,O008729,Mobile Payment,Completed,2023-11-08 20:50:05
PAY002009,O002009,Credit Card,Completed,2023-11-08 23:37:58
PAY000897,O000897,Bank Transfer,Completed,2023-11-09 01:45:34
PAY004374,O004374,Credit Card,Completed,2023-11-09 04:32:21
PAY002519,O002519,Bank Transfer,Completed,2023-11-09 05:21:22
PAY008690,O008690,Bank Transfer,Completed,2023-11-09 06:26:51
PAY000543,O000543,Credit Card,Completed,2023-11-09 07:15:22
PAY001915,O001915,Mobile Payment,Completed,2023-11-09 06:57:41
PAY002719,O002719,Credit Card,Completed,2023-11-09 09:37:31
PAY004056,O004056,Mobile Payment,Completed,2023-11-09 09:40:41
PAY002704,O002704,Bank Transfer,Completed,2023-11-09 09:51:16
PAY008774,O008774,Mobile Payment,Completed,2023-11-09 11:53:54
PAY001829,O001829,Credit Card,Completed,2023-11-09 14:05:26
PAY005047,O005047,Bank Transfer,Completed,2023-11-09 14:19:12
PAY007652,O007652,Credit Card,Completed,2023-11-09 15:28:51
PAY008103,O008103,Mobile Payment,Completed,2023-11-09 15:39:22
PAY008251,O008251,Mobile Payment,Completed,2023-11-09 18:02:02
PAY005297,O005297,Mobile Payment,Completed,2023-11-09 20:06:45
PAY005479,O005479,Bank Transfer,Completed,2023-11-09 20:58:56
PAY009167,O009167,Credit Card,Completed,2023-11-09 22:16:45
PAY006904,O006904,Mobile Payment,Pending,
PAY000970,O000970,Mobile Payment,Completed,2023-11-10 03:27:46
PAY006291,O006291,Mobile Payment,Completed,2023-11-10 05:53:21
PAY009811,O009811,Bank Transfer,Completed,2023-11-10 08:38:36
PAY007564,O007564,Mobile Payment,Completed,2023-11-10 09:57:15
PAY008934,O008934,Mobile Payment,Completed,2023-11-10 11:01:39
PAY005830,O005830,Bank Transfer,Completed,2023-11-10 12:24:06
PAY003815,O003815,Mobile Payment,Pending,
PAY009442,O009442,Mobile Payment,Completed,2023-11-10 13:14:14
PAY006390,O006390,Credit Card,Completed,2023-11-10 13:07:19
PAY007774,O007774,Mobile Payment,Completed,2023-11-10 13:41:21
PAY001047,O001047,Mobile Payment,Completed,2023-11-10 13:14:11
PAY001423,O001423,Mobile Payment,Completed,2023-11-10 15:02:30
PAY008045,O008045,Credit Card,Completed,2023-11-10 18:32:59
PAY004240,O004240,Bank Transfer,Completed,2023-11-10 20:08:14
PAY002398,O002398,Bank Transfer,Completed,2023-11-10 20:31:39
PAY004138,O004138,Credit Card,Completed,2023-11-10 20:24:19
PAY003664,O003664,Credit Card,Completed,2023-11-10 22:28:42
PAY003594,O003594,Bank Transfer,Completed,2023-11-10 22:21:48
PAY006699,O006699,Credit Card,Completed,2023-11-11 00:32:25
PAY009972,O009972,Bank Transfer,Completed,2023-11-11 01:10:15
PAY000742,O000742,Bank Transfer,Completed,2023-11-11 02:53:36
PAY000323,O000323,Bank Transfer,Completed,2023-11-11 04:18:02
PAY000891,O000891,Mobile Payment,Completed,2023-11-11 05:35:54
PAY005133,O005133,Credit Card,Pending,
PAY009593,O009593,Credit Card,Completed,2023-11-11 05:31:10
PAY007529,O007529,Bank Transfer,Completed,2023-11-11 05:56:38
PAY008226,O008226,Credit Card,Completed,2023-11-11 06:44:13
PAY000727,O000727,Mobile Payment,Completed,2023-11-11 08:21:54
PAY003056,O003056,Mobile Payment,Completed,2023-11-11 08:49:25
PAY003880,O003880,Credit Card,Completed,2023-11-11 11:59:31
PAY008832,O008832,Credit Card,Completed,2023-11-11 14:20:21
PAY008155,O008155,Bank Transfer,Completed,2023-11-11 15:18:36
PAY001245,O001245,Credit Card,Completed,2023-11-11 17:09:33
PAY009082,O009082,Credit Card,Completed,2023-11-11 16:41:53
PAY001528,O001528,Credit Card,Completed,2023-11-11 22:15:36
PAY007231,O007231,Mobile Payment,Completed,2023-11-11 23:02:15
PAY002037,O002037,Credit Card,Completed,2023-11-11 23:26:24
PAY000590,O000590,Mobile Payment,Completed,2023-11-12 00:27:09
PAY002191,O002191,Credit Card,Completed,2023-11-12 05:20:10
PAY003708,O003708,Bank Transfer,Completed,2023-11-12 09:04:25
PAY003457,O003457,Bank Transfer,Pending,
PAY004405,O004405,Mobile Payment,Completed,2023-11-12 11:11:29
PAY007530,O007530,Credit Card,Completed,2023-11-12 12:44:15
PAY005435,O005435,Mobile Payment,Completed,2023-11-12 12:50:25
PAY001701,O001701,Mobile Payment,Completed,2023-11-12 15:40:05
PAY005035,O005035,Mobile Payment,Completed,2023-11-12 20:32:10
PAY007833,O007833,Bank Transfer,Completed,2023-11-12 23:19:57
PAY004819,O004819,Credit Card,Completed,2023-11-12 23:09:03
PAY007277,O007277,Bank Transfer,Completed,2023-11-13 02:07:53
PAY004922,O004922,Mobile Payment,Completed,2023-11-13 01:44:06
PAY001860,O001860,Mobile Payment,Completed,2023-11-13 02:27:50
PAY002031,O002031,Bank Transfer,Completed,2023-11-13 06:00:31
PAY001942,O001942,Credit Card,Completed,2023-11-13 08:31:26
PAY000490,O000490,Mobile Payment,Completed,2023-11-13 09:07:15
PAY008978,O008978,Bank Transfer,Failed,
PAY000423,O000423,Bank Transfer,Completed,2023-11-13 13:27:16
PAY001127,O001127,Credit Card,Completed,2023-11-13 14:08:30
PAY007487,O007487,Bank Transfer,Failed,
PAY001539,O001539,Credit Card,Completed,2023-11-13 20:22:57
PAY008175,O008175,Credit Card,Completed,2023-11-13 20:22:45
PAY000035,O000035,Credit Card,Completed,2023-11-13 21:18:25
PAY004344,O004344,Bank Transfer,Completed,2023-11-14 00:54:34
PAY004534,O004534,Bank Transfer,Completed,2023-11-14 01:59:40
PAY001820,O001820,Credit Card,Pending,
PAY008952,O008952,Mobile Payment,Completed,2023-11-14 02:58:54
PAY006790,O006790,Mobile Payment,Completed,2023-11-14 03:12:08
PAY005107,O005107,Mobile Payment,Completed,2023-11-14 04:39:57
PAY001439,O001439,Bank Transfer,Completed,2023-11-14 09:42:41
PAY001896,O001896,Credit Card,Completed,2023-11-14 12:28:01
PAY003774,O003774,Mobile Payment,Completed,2023-11-14 11:59:58
PAY001679,O001679,Bank Transfer,Completed,2023-11-14 14:50:11
PAY005947,O005947,Mobile Payment,Completed,2023-11-14 16:11:50
PAY002241,O002241,Credit Card,Completed,2023-11-14 16:56:20
PAY002477,O002477,Bank Transfer,Completed,2023-11-14 21:57:26
PAY000683,O000683,Mobile Payment,Completed,2023-11-14 22:59:37
PAY009286,O009286,Credit Card,Completed,2023-11-15 00:31:54
PAY005914,O005914,Bank Transfer,Completed,2023-11-15 00:55:38
PAY008433,O008433,Credit Card,Completed,2023-11-15 01:04:19
PAY003401,O003401,Bank Transfer,Completed,2023-11-15 05:06:11
PAY003916,O003916,Mobile Payment,Completed,2023-11-15 05:13:27
PAY007222,O007222,Bank Transfer,Completed,2023-11-15 05:21:50
PAY001588,O001588,Credit Card,Completed,2023-11-15 06:51:19
PAY002238,O002238,Mobile Payment,Completed,2023-11-15 13:57:17
PAY003353,O003353,Credit Card,Completed,2023-11-15 21:08:07
PAY005442,O005442,Credit Card,Completed,2023-11-15 20:57:33
PAY000956,O000956,Credit Card,Completed,2023-11-15 21:50:54
PAY004809,O004809,Credit Card,Completed,2023-11-15 21:48:03
PAY004626,O004626,Bank Transfer,Pending,
PAY008172,O008172,Bank Transfer,Completed,2023-11-16 06:13:20
PAY000593,O000593,Mobile Payment,Completed,2023-11-16 15:20:44
PAY008546,O008546,Mobile Payment,Completed,2023-11-16 15:51:52
PAY004532,O004532,Mobile Payment,Completed,2023-11-16 19:24:44
PAY006569,O006569,Mobile Payment,Completed,2023-11-16 20:45:56
PAY009465,O009465,Credit Card,Completed,2023-11-16 23:09:25
PAY002169,O002169,Credit Card,Completed,2023-11-17 04:20:42
PAY004925,O004925,Bank Transfer,Completed,2023-11-17 06:27:53
PAY003445,O003445,Credit Card,Pending,
PAY000589,O000589,Mobile Payment,Completed,2023-11-17 07:34:36
PAY000158,O000158,Bank Transfer,Failed,
PAY001536,O001536,Credit Card,Completed,2023-11-17 10:24:47
PAY008895,O008895,Bank Transfer,Completed,2023-11-17 14:48:52
PAY006610,O006610,Bank Transfer,Completed,2023-11-17 16:59:41
PAY006075,O006075,Credit Card,Completed,2023-11-17 20:17:46
PAY008823,O008823,Bank Transfer,Completed,2023-11-17 21:27:29
PAY000363,O000363,Bank Transfer,Failed,
PAY009401,O009401,Bank Transfer,Completed,2023-11-18 03:26:07
PAY003391,O003391,Bank Transfer,Completed,2023-11-18 06:16:19
PAY009920,O009920,Credit Card,Failed,
PAY004274,O004274,Mobile Payment,Completed,2023-11-18 10:47:59
PAY002069,O002069,Bank Transfer,Completed,2023-11-18 12:32:20
PAY006918,O006918,Mobile Payment,Completed,2023-11-18 12:43:00
PAY004797,O004797,Bank Transfer,Completed,2023-11-18 14:11:57
PAY004753,O004753,Bank Transfer,Completed,2023-11-18 13:43:19
PAY008340,O008340,Mobile Payment,Completed,2023-11-18 13:41:31
PAY007374,O007374,Credit Card,Completed,2023-11-18 16:19:03
PAY000459,O000459,Mobile Payment,Completed,2023-11-18 16:47:06
PAY007937,O007937,Mobile Payment,Completed,2023-11-18 18:26:59
PAY002504,O002504,Mobile Payment,Completed,2023-11-18 21:51:09
PAY003558,O003558,Mobile Payment,Completed,2023-11-18 22:24:38
PAY009718,O009718,Mobile Payment,Completed,2023-11-18 22:39:16
PAY004843,O004843,Bank Transfer,Completed,2023-11-19 01:18:55
PAY005954,O005954,Credit Card,Failed,
PAY008107,O008107,Bank Transfer,Completed,2023-11-19 02:38:00
PAY007713,O007713,Mobile Payment,Completed,2023-11-19 04:45:14
PAY006982,O006982,Bank Transfer,Completed,2023-11-19 05:25:51
PAY002118,O002118,Bank Transfer,Completed,2023-11-19 10:29:49
PAY009001,O009001,Credit Card,Pending,
PAY002177,O002177,Mobile Payment,Completed,2023-11-19 12:44:12
PAY001930,O001930,Mobile Payment,Completed,2023-11-19 12:50:47
PAY002292,O002292,Bank Transfer,Completed,2023-11-19 14:16:31
PAY004654,O004654,Bank Transfer,Pending,
PAY005629,O005629,Bank Transfer,Completed,2023-11-19 14:45:13
PAY004365,O004365,Bank Transfer,Completed,2023-11-19 16:26:24
PAY002857,O002857,Mobile Payment,Completed,2023-11-19 17:09:30
PAY000149,O000149,Bank Transfer,Completed,2023-11-19 19:14:29
PAY006677,O006677,Credit Card,Failed,
PAY003613,O003613,Bank Transfer,Completed,2023-11-19 21:49:32
PAY007335,O007335,Mobile Payment,Completed,2023-11-19 21:40:47
PAY000306,O000306,Bank Transfer,Pending,
PAY002267,O002267,Mobile Payment,Completed,2023-11-19 22:16:24
PAY006318,O006318,Mobile Payment,Completed,2023-11-20 01:16:29
PAY005157,O005157,Bank Transfer,Failed,
PAY005973,O005973,Bank Transfer,Completed,2023-11-20 05:44:23
PAY000232,O000232,Bank Transfer,Completed,2023-11-20 06:00:34
PAY009410,O009410,Credit Card,Completed,2023-11-20 06:24:35
PAY000424,O000424,Credit Card,Completed,2023-11-20 08:47:05
