shipping_id,order_id,shipping_company,shipping_status,shipping_start_date,shipping_end_date
S000935,O000935,롯데택배,Delivered,2023-10-26 01:06:44,2023-10-31 01:06:44
S009292,O009292,우체국택배,Delivered,2023-10-25 21:44:50,2023-10-30 21:44:50
S005075,O005075,한진택배,Delivered,2023-10-26 01:47:26,2023-10-29 01:47:26
S004661,O004661,우체국택배,Delivered,2023-10-25 09:21:20,2023-10-27 09:21:20
S009791,O009791,우체국택배,Cancelled,2023-10-26 03:24:12,
S008954,O008954,대한통운,Delivered,2023-10-26 01:03:59,2023-10-28 01:03:59
S004579,O004579,우체국택배,Delivered,2023-10-26 01:39:38,2023-10-27 01:39:38
S006813,O006813,우체국택배,Delivered,2023-10-25 21:57:28,2023-10-28 21:57:28
S000849,O000849,우체국택배,Delivered,2023-10-25 23:37:57,2023-10-26 23:37:57
S008287,O008287,대한통운,Delivered,2023-10-26 10:08:49,2023-10-31 10:08:49
S008669,O008669,우체국택배,Preparing,2023-10-26 08:10:57,
S007706,O007706,한진택배,Delivered,2023-10-26 14:50:19,2023-10-27 14:50:19
S002835,O002835,우체국택배,Shipped,2023-10-25 18:55:01,
S006618,O006618,한진택배,Delivered,2023-10-26 09:59:50,2023-10-27 09:59:50
S003211,O003211,우체국택배,Delivered,2023-10-26 20:07:25,2023-10-27 20:07:25
S005162,O005162,우체국택배,Shipped,2023-10-26 10:04:52,
S008167,O008167,우체국택배,Shipped,2023-10-26 05:07:28,
S001648,O001648,우체국택배,Delivered,2023-10-26 15:39:05,2023-10-28 15:39:05
S001951,O001951,롯데택배,Delivered,2023-10-26 16:24:38,2023-10-29 16:24:38
S003526,O003526,한진택배,Shipped,2023-10-26 19:41:11,
S001682,O001682,우체국택배,Delivered,2023-10-27 08:29:17,2023-10-28 08:29:17
S000269,O000269,대한통운,Delivered,2023-10-27 08:22:34,2023-10-28 08:22:34
S004245,O004245,롯데택배,Delivered,2023-10-27 10:04:30,2023-10-28 10:04:30
S008358,O008358,롯데택배,Delivered,2023-10-27 04:18:15,2023-10-28 04:18:15
S006511,O006511,롯데택배,Shipped,2023-10-27 03:32:36,
S000359,O000359,롯데택배,Delivered,2023-10-28 02:13:56,2023-10-30 02:13:56
S008262,O008262,대한통운,Delivered,2023-10-27 18:38:15,2023-10-30 18:38:15
S007913,O007913,우체국택배,Delivered,2023-10-28 02:30:55,2023-10-31 02:30:55
S001187,O001187,롯데택배,Cancelled,2023-10-27 22:43:40,
S001649,O001649,한진택배,Delivered,2023-10-28 09:43:10,2023-11-01 09:43:10
S003734,O003734,우체국택배,Delivered,2023-10-28 17:02:02,2023-11-02 17:02:02
S003403,O003403,우체국택배,Delivered,2023-10-28 02:42:39,2023-10-30 02:42:39
S009628,O009628,대한통운,Shipped,2023-10-28 08:13:36,
S003268,O003268,롯데택배,Delivered,2023-10-29 02:12:52,2023-11-03 02:12:52
S003841,O003841,우체국택배,Shipped,2023-10-28 10:16:37,
S004635,O004635,한진택배,Delivered,2023-10-28 17:55:46,2023-10-30 17:55:46
S006722,O006722,대한통운,Preparing,2023-10-28 08:59:58,
S008173,O008173,대한통운,Shipped,2023-10-28 17:15:01,
S004918,O004918,대한통운,Delivered,2023-10-28 11:02:34,2023-11-02 11:02:34
S001457,O001457,한진택배,Shipped,2023-10-28 12:43:50,
S002012,O002012,한진택배,Delivered,2023-10-29 01:26:03,2023-11-02 01:26:03
S000817,O000817,한진택배,Delivered,2023-10-29 11:35:14,2023-10-30 11:35:14
S003714,O003714,롯데택배,Delivered,2023-10-29 05:32:26,2023-11-01 05:32:26
S004237,O004237,롯데택배,Shipped,2023-10-29 17:30:18,
S009206,O009206,롯데택배,Delivered,2023-10-29 15:44:09,2023-10-30 15:44:09
S003320,O003320,우체국택배,Delivered,2023-10-29 13:07:43,2023-11-03 13:07:43
S000763,O000763,롯데택배,Preparing,2023-10-30 03:42:04,
S008197,O008197,대한통운,Shipped,2023-10-29 12:39:56,
S003589,O003589,우체국택배,Delivered,2023-10-30 06:51:14,2023-10-31 06:51:14
S007320,O007320,롯데택배,Delivered,2023-10-30 02:40:43,2023-11-04 02:40:43
S003048,O003048,우체국택배,Delivered,2023-10-29 15:55:23,2023-10-30 15:55:23
S009479,O009479,한진택배,Shipped,2023-10-30 04:16:08,
S007806,O007806,롯데택배,Delivered,2023-10-30 02:20:31,2023-11-02 02:20:31
S005083,O005083,롯데택배,Delivered,2023-10-30 04:24:05,2023-11-03 04:24:05
S009927,O009927,대한통운,Delivered,2023-10-29 14:08:35,2023-10-31 14:08:35
S002496,O002496,한진택배,Delivered,2023-10-29 19:20:42,2023-11-02 19:20:42
S001940,O001940,대한통운,Delivered,2023-10-29 16:48:09,2023-10-30 16:48:09
S003843,O003843,대한통운,Cancelled,2023-10-30 04:24:33,
S002015,O002015,우체국택배,Delivered,2023-10-30 10:12:35,2023-11-02 10:12:35
S003213,O003213,한진택배,Delivered,2023-10-30 01:00:20,2023-11-04 01:00:20
S005674,O005674,우체국택배,Shipped,2023-10-30 11:31:26,
S002878,O002878,대한통운,Delivered,2023-10-31 02:00:41,2023-11-05 02:00:41
S005265,O005265,대한통운,Delivered,2023-10-31 04:48:36,2023-11-01 04:48:36
S006558,O006558,우체국택배,Delivered,2023-10-30 20:18:59,2023-11-03 20:18:59
S008459,O008459,한진택배,Delivered,2023-10-31 08:35:22,2023-11-03 08:35:22
S007292,O007292,롯데택배,Shipped,2023-10-31 00:17:29,
S006754,O006754,우체국택배,Delivered,2023-10-31 06:01:15,2023-11-03 06:01:15
S005829,O005829,대한통운,Delivered,2023-10-31 05:52:09,2023-11-04 05:52:09
S006044,O006044,대한통운,Delivered,2023-10-31 05:12:29,2023-11-03 05:12:29
S001582,O001582,대한통운,Delivered,2023-10-31 19:56:31,2023-11-03 19:56:31
S008389,O008389,롯데택배,Shipped,2023-10-31 14:36:10,
S005897,O005897,우체국택배,Shipped,2023-10-31 19:31:12,
S007578,O007578,한진택배,Delivered,2023-10-31 12:39:30,2023-11-05 12:39:30
S005618,O005618,대한통운,Preparing,2023-10-31 10:18:25,
S004821,O004821,대한통운,Delivered,2023-10-31 22:09:26,2023-11-02 22:09:26
S006022,O006022,한진택배,Delivered,2023-11-01 07:10:56,2023-11-03 07:10:56
S009617,O009617,한진택배,Delivered,2023-11-01 15:05:43,2023-11-02 15:05:43
S005873,O005873,우체국택배,Shipped,2023-11-02 01:21:39,
S005307,O005307,한진택배,Shipped,2023-11-01 19:47:57,
S002482,O002482,롯데택배,Shipped,2023-11-01 23:45:12,
S008937,O008937,대한통운,Cancelled,2023-11-02 02:23:59,
S004596,O004596,우체국택배,Shipped,2023-11-01 11:18:20,
S005206,O005206,한진택배,Delivered,2023-11-02 01:47:39,2023-11-05 01:47:39
S003957,O003957,우체국택배,Shipped,2023-11-01 23:16:14,
S003360,O003360,우체국택배,Preparing,2023-11-01 16:27:45,
S007648,O007648,우체국택배,Delivered,2023-11-02 09:28:48,2023-11-06 09:28:48
S003817,O003817,한진택배,Delivered,2023-11-03 00:11:52,2023-11-08 00:11:52
S005321,O005321,우체국택배,Delivered,2023-11-02 19:06:33,2023-11-04 19:06:33
S009485,O009485,우체국택배,Delivered,2023-11-03 05:13:49,2023-11-08 05:13:49
S007279,O007279,대한통운,Delivered,2023-11-02 14:31:18,2023-11-03 14:31:18
S008523,O008523,우체국택배,Delivered,2023-11-02 23:42:52,2023-11-05 23:42:52
S000276,O000276,대한통운,Delivered,2023-11-03 00:39:57,2023-11-07 00:39:57
S008740,O008740,우체국택배,Delivered,2023-11-03 12:43:31,2023-11-08 12:43:31
S008611,O008611,한진택배,Delivered,2023-11-03 12:26:41,2023-11-07 12:26:41
S008618,O008618,한진택배,Cancelled,2023-11-03 06:18:27,
S002348,O002348,대한통운,Cancelled,2023-11-02 21:57:38,
S003692,O003692,우체국택배,Delivered,2023-11-03 15:40:28,2023-11-05 15:40:28
S002048,O002048,롯데택배,Preparing,2023-11-03 11:52:06,
S005923,O005923,롯데택배,Delivered,2023-11-03 10:40:41,2023-11-05 10:40:41
S004159,O004159,롯데택배,Delivered,2023-11-04 01:37:13,2023-11-05 01:37:13
S000285,O000285,롯데택배,Shipped,2023-11-04 08:44:23,
S009522,O009522,대한통운,Delivered,2023-11-03 22:30:29,2023-11-04 22:30:29
S001193,O001193,우체국택배,Delivered,2023-11-04 02:13:43,2023-11-09 02:13:43
S007391,O007391,롯데택배,Delivered,2023-11-04 06:24:15,2023-11-09 06:24:15
S007728,O007728,대한통운,Delivered,2023-11-04 16:16:08,2023-11-08 16:16:08
S008670,O008670,롯데택배,Delivered,2023-11-04 22:30:07,2023-11-09 22:30:07
S009028,O009028,대한통운,Delivered,2023-11-04 15:21:05,2023-11-08 15:21:05
S003687,O003687,롯데택배,Delivered,2023-11-04 18:38:24,2023-11-07 18:38:24
S008921,O008921,대한통운,Delivered,2023-11-04 23:53:35,2023-11-08 23:53:35
S002159,O002159,대한통운,Delivered,2023-11-04 11:40:34,2023-11-09 11:40:34
S005178,O005178,대한통운,Shipped,2023-11-04 19:31:33,
S002931,O002931,한진택배,Delivered,2023-11-04 09:54:46,2023-11-09 09:54:46
S000259,O000259,한진택배,Delivered,2023-11-04 20:02:44,2023-11-06 20:02:44
S006410,O006410,롯데택배,Shipped,2023-11-05 06:27:39,
S009583,O009583,대한통운,Delivered,2023-11-05 03:44:41,2023-11-10 03:44:41
S003941,O003941,롯데택배,Delivered,2023-11-04 18:55:55,2023-11-05 18:55:55
S005053,O005053,우체국택배,Delivered,2023-11-05 10:56:25,2023-11-06 10:56:25
S008813,O008813,롯데택배,Cancelled,2023-11-05 14:25:05,
S000858,O000858,롯데택배,Shipped,2023-11-05 00:26:31,
S000995,O000995,한진택배,Shipped,2023-11-05 02:18:52,
S007887,O007887,한진택배,Delivered,2023-11-05 06:55:37,2023-11-09 06:55:37
S003126,O003126,롯데택배,Delivered,2023-11-05 13:55:03,2023-11-07 13:55:03
S007210,O007210,대한통운,Shipped,2023-11-05 22:57:11,
S003980,O003980,대한통운,Delivered,2023-11-06 01:00:23,2023-11-08 01:00:23
S005872,O005872,롯데택배,Delivered,2023-11-05 22:42:35,2023-11-08 22:42:35
S003193,O003193,대한통운,Preparing,2023-11-06 05:08:47,
S003071,O003071,롯데택배,Shipped,2023-11-05 20:51:48,
S000253,O000253,한진택배,Delivered,2023-11-06 05:15:09,2023-11-10 05:15:09
S008127,O008127,대한통운,Preparing,2023-11-06 15:11:53,
S000696,O000696,롯데택배,Shipped,2023-11-06 16:13:51,
S007610,O007610,대한통운,Delivered,2023-11-06 21:46:28,2023-11-10 21:46:28
S006993,O006993,롯데택배,Delivered,2023-11-06 23:11:56,2023-11-08 23:11:56
S000335,O000335,롯데택배,Delivered,2023-11-06 06:48:15,2023-11-11 06:48:15
S006425,O006425,롯데택배,Shipped,2023-11-06 15:57:37,
S002065,O002065,대한통운,Delivered,2023-11-06 11:03:22,2023-11-11 11:03:22
S007780,O007780,우체국택배,Delivered,2023-11-07 04:54:22,2023-11-08 04:54:22
S005045,O005045,롯데택배,Delivered,2023-11-07 04:51:31,2023-11-12 04:51:31
S000131,O000131,우체국택배,Delivered,2023-11-07 03:57:27,2023-11-09 03:57:27
S000467,O000467,한진택배,Delivered,2023-11-06 23:42:52,2023-11-08 23:42:52
S001929,O001929,롯데택배,Shipped,2023-11-07 01:58:22,
S009804,O009804,롯데택배,Cancelled,2023-11-07 05:08:51,
S009111,O009111,한진택배,Delivered,2023-11-07 10:15:42,2023-11-11 10:15:42
S005423,O005423,롯데택배,Shipped,2023-11-06 19:53:36,
S008056,O008056,롯데택배,Shipped,2023-11-07 05:27:06,
S005779,O005779,한진택배,Shipped,2023-11-07 15:44:38,
S000955,O000955,대한통운,Delivered,2023-11-07 05:48:15,2023-11-08 05:48:15
S000293,O000293,한진택배,Delivered,2023-11-07 11:46:42,2023-11-08 11:46:42
S007574,O007574,대한통운,Delivered,2023-11-08 00:37:57,2023-11-12 00:37:57
S003257,O003257,롯데택배,Shipped,2023-11-07 12:13:51,
S001939,O001939,우체국택배,Delivered,2023-11-07 22:41:29,2023-11-11 22:41:29
S007070,O007070,한진택배,Delivered,2023-11-08 07:39:23,2023-11-09 07:39:23
S000597,O000597,한진택배,Delivered,2023-11-07 16:09:10,2023-11-12 16:09:10
S003491,O003491,대한통운,Delivered,2023-11-08 09:04:17,2023-11-12 09:04:17
S008754,O008754,대한통운,Preparing,2023-11-08 11:30:14,
S006655,O006655,한진택배,Delivered,2023-11-08 12:14:11,2023-11-11 12:14:11
S003179,O003179,대한통운,Shipped,2023-11-08 09:01:27,
S009805,O009805,우체국택배,Delivered,2023-11-09 04:44:52,2023-11-14 04:44:52
S002410,O002410,우체국택배,Delivered,2023-11-09 10:38:49,2023-11-13 10:38:49
S004633,O004633,한진택배,Preparing,2023-11-09 12:14:55,
S006080,O006080,롯데택배,Delivered,2023-11-09 02:06:40,2023-11-13 02:06:40
S009506,O009506,롯데택배,Delivered,2023-11-08 16:47:52,2023-11-11 16:47:52
S004738,O004738,대한통운,Delivered,2023-11-08 20:14:23,2023-11-09 20:14:23
S000521,O000521,우체국택배,Delivered,2023-11-09 03:04:20,2023-11-10 03:04:20
S001745,O001745,한진택배,Delivered,2023-11-08 19:57:23,2023-11-10 19:57:23
S007553,O007553,우체국택배,Delivered,2023-11-09 13:45:29,2023-11-11 13:45:29
S003235,O003235,롯데택배,Delivered,2023-11-09 17:52:17,2023-11-12 17:52:17
S008729,O008729,롯데택배,Shipped,2023-11-09 10:50:05,
S002009,O002009,우체국택배,Shipped,2023-11-09 09:37:58,
S000897,O000897,롯데택배,Delivered,2023-11-10 00:45:34,2023-11-14 00:45:34
S004374,O004374,한진택배,Delivered,2023-11-09 09:32:21,2023-11-14 09:32:21
S002519,O002519,대한통운,Delivered,2023-11-09 14:21:22,2023-11-11 14:21:22
S008690,O008690,한진택배,Delivered,2023-11-10 05:26:51,2023-11-14 05:26:51
S000543,O000543,대한통운,Delivered,2023-11-10 04:15:22,2023-11-15 04:15:22
S001915,O001915,한진택배,Delivered,2023-11-10 04:57:41,2023-11-15 04:57:41
S002719,O002719,대한통운,Shipped,2023-11-09 15:37:31,
S004056,O004056,한진택배,Shipped,2023-11-09 23:40:41,
S002704,O002704,우체국택배,Preparing,2023-11-09 20:51:16,
S008774,O008774,대한통운,Cancelled,2023-11-09 16:53:54,
S001829,O001829,한진택배,Delivered,2023-11-10 07:05:26,2023-11-13 07:05:26
S005047,O005047,우체국택배,Delivered,2023-11-10 04:19:12,2023-11-13 04:19:12
S007652,O007652,대한통운,Delivered,2023-11-10 03:28:51,2023-11-15 03:28:51
S008103,O008103,우체국택배,Delivered,2023-11-09 22:39:22,2023-11-10 22:39:22
S008251,O008251,우체국택배,Delivered,2023-11-10 13:02:02,2023-11-11 13:02:02
S005297,O005297,대한통운,Delivered,2023-11-10 17:06:45,2023-11-14 17:06:45
S005479,O005479,롯데택배,Shipped,2023-11-10 02:58:56,
S009167,O009167,우체국택배,Shipped,2023-11-10 09:16:45,
S000970,O000970,롯데택배,Delivered,2023-11-10 21:27:46,2023-11-11 21:27:46
S006291,O006291,우체국택배,Preparing,2023-11-11 00:53:21,
S009811,O009811,롯데택배,Delivered,2023-11-10 10:38:36,2023-11-12 10:38:36
S007564,O007564,대한통운,Delivered,2023-11-10 14:57:15,2023-11-12 14:57:15
S008934,O008934,우체국택배,Delivered,2023-11-10 22:01:39,2023-11-12 22:01:39
S005830,O005830,롯데택배,Shipped,2023-11-10 14:24:06,
S009442,O009442,롯데택배,Delivered,2023-11-11 13:14:14,2023-11-16 13:14:14
S006390,O006390,롯데택배,Delivered,2023-11-11 08:07:19,2023-11-15 08:07:19
S007774,O007774,대한통운,Delivered,2023-11-11 00:41:21,2023-11-16 00:41:21
S001047,O001047,우체국택배,Delivered,2023-11-11 05:14:11,2023-11-16 05:14:11
S001423,O001423,대한통운,Delivered,2023-11-10 17:02:30,2023-11-12 17:02:30
S008045,O008045,우체국택배,Delivered,2023-11-11 10:32:59,2023-11-16 10:32:59
S004240,O004240,롯데택배,Preparing,2023-11-11 00:08:14,
S002398,O002398,대한통운,Preparing,2023-11-11 12:31:39,
S004138,O004138,롯데택배,Delivered,2023-11-11 09:24:19,2023-11-14 09:24:19
S003664,O003664,한진택배,Cancelled,2023-11-11 01:28:42,
S003594,O003594,롯데택배,Delivered,2023-11-11 10:21:48,2023-11-16 10:21:48
S006699,O006699,한진택배,Cancelled,2023-11-11 08:32:25,
S009972,O009972,우체국택배,Delivered,2023-11-11 09:10:15,2023-11-12 09:10:15
S000742,O000742,한진택배,Delivered,2023-11-11 13:53:36,2023-11-12 13:53:36
S000323,O000323,롯데택배,Delivered,2023-11-11 10:18:02,2023-11-12 10:18:02
S000891,O000891,대한통운,Shipped,2023-11-11 20:35:54,
S009593,O009593,롯데택배,Delivered,2023-11-12 04:31:10,2023-11-14 04:31:10
S007529,O007529,대한통운,Delivered,2023-11-11 19:56:38,2023-11-13 19:56:38
S008226,O008226,대한통운,Delivered,2023-11-11 19:44:13,2023-11-13 19:44:13
S000727,O000727,대한통운,Delivered,2023-11-12 08:21:54,2023-11-15 08:21:54
S003056,O003056,우체국택배,Cancelled,2023-11-11 21:49:25,
S003880,O003880,대한통운,Delivered,2023-11-12 04:59:31,2023-11-13 04:59:31
S008832,O008832,우체국택배,Preparing,2023-11-12 02:20:21,
S008155,O008155,롯데택배,Delivered,2023-11-12 09:18:36,2023-11-15 09:18:36
S001245,O001245,한진택배,Delivered,2023-11-12 11:09:33,2023-11-17 11:09:33
S009082,O009082,우체국택배,Shipped,2023-11-12 06:41:53,
S001528,O001528,우체국택배,Shipped,2023-11-12 08:15:36,
S007231,O007231,대한통운,Delivered,2023-11-12 17:02:15,2023-11-13 17:02:15
S002037,O002037,대한통운,Preparing,2023-11-12 14:26:24,
S000590,O000590,대한통운,Delivered,2023-11-12 15:27:09,2023-11-17 15:27:09
S002191,O002191,한진택배,Delivered,2023-11-13 05:20:10,2023-11-18 05:20:10
S003708,O003708,대한통운,Preparing,2023-11-12 21:04:25,
S004405,O004405,우체국택배,Shipped,2023-11-13 06:11:29,
S007530,O007530,한진택배,Delivered,2023-11-12 19:44:15,2023-11-16 19:44:15
S005435,O005435,롯데택배,Delivered,2023-11-13 04:50:25,2023-11-15 04:50:25
S001701,O001701,롯데택배,Delivered,2023-11-13 08:40:05,2023-11-17 08:40:05
S005035,O005035,우체국택배,Cancelled,2023-11-13 10:32:10,
S007833,O007833,대한통운,Delivered,2023-11-13 23:19:57,2023-11-17 23:19:57
S004819,O004819,한진택배,Delivered,2023-11-13 00:09:03,2023-11-18 00:09:03
S007277,O007277,롯데택배,Delivered,2023-11-13 18:07:53,2023-11-18 18:07:53
S004922,O004922,우체국택배,Preparing,2023-11-13 02:44:06,
S001860,O001860,한진택배,Delivered,2023-11-14 01:27:50,2023-11-16 01:27:50
S002031,O002031,대한통운,Delivered,2023-11-13 08:00:31,2023-11-16 08:00:31
S001942,O001942,한진택배,Delivered,2023-11-13 15:31:26,2023-11-14 15:31:26
S000490,O000490,대한통운,Preparing,2023-11-13 11:07:15,
S000423,O000423,한진택배,Shipped,2023-11-13 20:27:16,
S001127,O001127,한진택배,Shipped,2023-11-14 07:08:30,
S001539,O001539,우체국택배,Shipped,2023-11-14 07:22:57,
S008175,O008175,우체국택배,Shipped,2023-11-14 08:22:45,
S000035,O000035,우체국택배,Delivered,2023-11-14 15:18:25,2023-11-19 15:18:25
S004344,O004344,롯데택배,Shipped,2023-11-14 17:54:34,
S004534,O004534,롯데택배,Delivered,2023-11-14 04:59:40,2023-11-15 04:59:40
S008952,O008952,한진택배,Delivered,2023-11-14 06:58:54,2023-11-17 06:58:54
S006790,O006790,대한통운,Delivered,2023-11-14 19:12:08,2023-11-17 19:12:08
S005107,O005107,우체국택배,Delivered,2023-11-14 14:39:57,2023-11-17 14:39:57
S001439,O001439,롯데택배,Delivered,2023-11-15 09:42:41,2023-11-19 09:42:41
S001896,O001896,롯데택배,Delivered,2023-11-15 02:28:01,2023-11-17 02:28:01
S003774,O003774,한진택배,Delivered,2023-11-15 11:59:58,2023-11-17 11:59:58
S001679,O001679,롯데택배,Shipped,2023-11-14 22:50:11,
S005947,O005947,한진택배,Shipped,2023-11-15 02:11:50,
S002241,O002241,한진택배,Delivered,2023-11-15 08:56:20,2023-11-17 08:56:20
S002477,O002477,롯데택배,Delivered,2023-11-15 08:57:26,2023-11-18 08:57:26
S000683,O000683,롯데택배,Shipped,2023-11-15 20:59:37,
S009286,O009286,대한통운,Delivered,2023-11-15 14:31:54,2023-11-17 14:31:54
S005914,O005914,우체국택배,Preparing,2023-11-15 19:55:38,
S008433,O008433,한진택배,Cancelled,2023-11-15 22:04:19,
S003401,O003401,한진택배,Delivered,2023-11-15 12:06:11,2023-11-16 12:06:11
S003916,O003916,한진택배,Shipped,2023-11-16 01:13:27,
S007222,O007222,롯데택배,Delivered,2023-11-15 10:21:50,2023-11-16 10:21:50
S001588,O001588,한진택배,Delivered,2023-11-15 15:51:19,2023-11-17 15:51:19
S002238,O002238,한진택배,Shipped,2023-11-15 19:57:17,
S003353,O003353,롯데택배,Delivered,2023-11-16 03:08:07,2023-11-21 03:08:07
S005442,O005442,우체국택배,Delivered,2023-11-16 20:57:33,2023-11-21 20:57:33
S000956,O000956,우체국택배,Delivered,2023-11-16 14:50:54,2023-11-19 14:50:54
S004809,O004809,한진택배,Delivered,2023-11-16 07:48:03,2023-11-17 07:48:03
S008172,O008172,대한통운,Preparing,2023-11-16 09:13:20,
S000593,O000593,우체국택배,Delivered,2023-11-17 11:20:44,2023-11-18 11:20:44
S008546,O008546,한진택배,Shipped,2023-11-17 06:51:52,
S004532,O004532,한진택배,Delivered,2023-11-17 13:24:44,2023-11-21 13:24:44
S006569,O006569,한진택배,Delivered,2023-11-17 17:45:56,2023-11-18 17:45:56
S009465,O009465,우체국택배,Delivered,2023-11-17 11:09:25,2023-11-20 11:09:25
S002169,O002169,우체국택배,Delivered,2023-11-17 13:20:42,2023-11-21 13:20:42
S004925,O004925,우체국택배,Preparing,2023-11-18 01:27:53,
S000589,O000589,우체국택배,Preparing,2023-11-17 09:34:36,
S001536,O001536,우체국택배,Delivered,2023-11-17 14:24:47,2023-11-18 14:24:47
