order_id,customer_id,product_id,order_date,quantity
O003526,C0690,P0381,2023-10-26 15:18:11,4
O001682,C1711,P0434,2023-10-26 15:47:17,5
O000269,C0689,P0052,2023-10-26 17:51:34,3
O004245,C1968,P0153,2023-10-26 19:16:30,4
O008358,C0908,P0378,2023-10-26 19:47:15,4
O006511,C1360,P0063,2023-10-27 01:52:36,4
O000359,C0555,P0365,2023-10-27 04:37:56,1
O008262,C0960,P0275,2023-10-27 04:50:15,5
O007913,C0895,P0083,2023-10-27 06:19:55,3
O008748,C0669,P0479,2023-10-27 09:13:16,1
O001187,C0548,P0133,2023-10-27 14:05:40,5
O001649,C1047,P0433,2023-10-27 14:30:10,4
O003734,C1019,P0009,2023-10-27 19:15:02,2
O003403,C0638,P0353,2023-10-27 23:08:39,1
O004352,C1606,P0342,2023-10-27 23:16:38,3
O002255,C0617,P0239,2023-10-27 23:51:20,4
O009628,C1124,P0015,2023-10-28 00:04:36,5
O003268,C1299,P0008,2023-10-28 03:17:52,5
O003841,C1470,P0273,2023-10-28 03:59:37,5
O004635,C0388,P0424,2023-10-28 06:28:46,5
O006722,C0093,P0260,2023-10-28 06:40:58,1
O008173,C1366,P0130,2023-10-28 07:31:01,5
O004918,C1704,P0119,2023-10-28 08:34:34,5
O001457,C0285,P0195,2023-10-28 11:35:50,4
O002012,C0051,P0387,2023-10-28 17:02:03,2
O000817,C1661,P0393,2023-10-28 17:27:14,5
O003714,C0835,P0349,2023-10-28 17:34:26,3
O004237,C0826,P0359,2023-10-29 01:20:18,4
O009206,C0168,P0460,2023-10-29 03:16:09,4
O003320,C0863,P0127,2023-10-29 06:15:43,1
O000763,C1106,P0315,2023-10-29 06:44:04,3
O008197,C1072,P0406,2023-10-29 07:38:56,2
O003589,C1016,P0488,2023-10-29 08:06:14,2
O007320,C0848,P0378,2023-10-29 09:50:43,1
O003048,C0549,P0210,2023-10-29 10:53:23,4
O009479,C0872,P0267,2023-10-29 11:15:08,5
O007806,C0286,P0260,2023-10-29 11:20:31,3
O005083,C1542,P0175,2023-10-29 11:56:05,4
O009927,C1743,P0411,2023-10-29 12:25:35,5
O002496,C0369,P0172,2023-10-29 13:02:42,3
O001940,C1155,P0399,2023-10-29 13:15:09,2
O003843,C0060,P0053,2023-10-29 13:53:33,1
O002015,C1084,P0425,2023-10-29 14:34:35,5
O003213,C0578,P0359,2023-10-29 18:12:20,5
O005674,C0426,P0447,2023-10-30 05:42:26,2
O002878,C0349,P0416,2023-10-30 05:44:41,5
O005733,C0061,P0255,2023-10-30 06:30:27,3
O005265,C0855,P0400,2023-10-30 07:15:36,4
O006558,C1093,P0071,2023-10-30 11:12:59,3
O004724,C0130,P0148,2023-10-30 12:25:02,3
O008459,C0701,P0302,2023-10-30 14:39:22,5
O007292,C0213,P0384,2023-10-30 15:46:29,1
O006754,C1343,P0155,2023-10-30 16:08:15,4
O005829,C1662,P0283,2023-10-30 17:08:09,3
O007357,C1367,P0189,2023-10-30 17:40:18,1
O006044,C1224,P0117,2023-10-30 20:24:29,1
O001582,C1248,P0273,2023-10-31 00:42:31,1
O008389,C0255,P0324,2023-10-31 03:13:10,3
O005897,C0834,P0058,2023-10-31 04:22:12,3
O007578,C0089,P0466,2023-10-31 06:01:30,4
O005618,C0056,P0466,2023-10-31 07:59:25,3
O004821,C0630,P0384,2023-10-31 16:47:26,2
O006022,C0412,P0366,2023-10-31 18:54:56,5
O009617,C0611,P0071,2023-11-01 03:33:43,1
O005873,C1162,P0463,2023-11-01 06:31:39,3
O005307,C1962,P0341,2023-11-01 07:29:57,4
O004899,C0877,P0415,2023-11-01 07:44:41,5
O002482,C1557,P0127,2023-11-01 08:06:12,5
O008937,C0209,P0113,2023-11-01 09:08:59,4
O004596,C0467,P0413,2023-11-01 09:46:20,2
O005206,C0411,P0095,2023-11-01 12:14:39,3
O003957,C0577,P0242,2023-11-01 12:44:14,4
O003360,C0177,P0165,2023-11-01 15:14:45,5
O007648,C0727,P0271,2023-11-01 19:34:48,5
O003817,C1155,P0351,2023-11-01 23:31:52,2
O005321,C1413,P0244,2023-11-02 11:08:33,5
O009485,C1533,P0313,2023-11-02 11:20:49,3
O007279,C1460,P0198,2023-11-02 12:49:18,2
O008523,C0988,P0363,2023-11-02 13:29:52,3
O000276,C1689,P0265,2023-11-02 14:02:57,3
O008740,C0170,P0278,2023-11-02 15:06:31,4
O008611,C0156,P0097,2023-11-02 15:06:41,1
O008618,C1220,P0400,2023-11-02 15:40:27,3
O002348,C1257,P0228,2023-11-02 17:27:38,1
O003692,C1973,P0467,2023-11-02 23:47:28,1
O002048,C1595,P0110,2023-11-03 01:45:06,1
O005923,C0208,P0253,2023-11-03 06:30:41,1
O008144,C0842,P0439,2023-11-03 10:26:56,1
O004159,C0038,P0314,2023-11-03 12:06:13,4
O000285,C1513,P0367,2023-11-03 17:28:23,4
O009522,C0479,P0264,2023-11-03 18:01:29,1
O001193,C1214,P0100,2023-11-03 21:44:43,1
O007391,C0492,P0376,2023-11-03 22:00:15,3
O007728,C1664,P0023,2023-11-03 22:23:08,3
O008670,C0685,P0331,2023-11-04 01:52:07,4
O009028,C1603,P0160,2023-11-04 02:08:05,5
O003687,C1780,P0061,2023-11-04 02:36:24,1
O008921,C0774,P0347,2023-11-04 03:41:35,5
O002159,C0423,P0267,2023-11-04 04:57:34,3
O005178,C1927,P0293,2023-11-04 05:53:33,2
O002931,C1427,P0228,2023-11-04 08:22:46,3
O000259,C0163,P0495,2023-11-04 11:42:44,1
O006410,C0315,P0097,2023-11-04 13:09:39,5
O009583,C1456,P0307,2023-11-04 13:13:41,2
O003941,C0069,P0324,2023-11-04 13:56:55,2
O005053,C0206,P0001,2023-11-04 14:28:25,4
O008813,C1853,P0287,2023-11-04 15:41:05,2
O000858,C0151,P0178,2023-11-04 17:08:31,2
O000995,C1016,P0286,2023-11-04 17:33:52,3
O002397,C0420,P0320,2023-11-04 21:55:45,4
O007887,C0319,P0460,2023-11-04 22:40:37,4
O003126,C0290,P0100,2023-11-05 00:43:03,4
O007210,C0534,P0380,2023-11-05 03:28:11,3
O001629,C1710,P0466,2023-11-05 04:31:22,1
O003980,C1937,P0216,2023-11-05 06:33:23,3
O005821,C1936,P0159,2023-11-05 11:25:27,4
O005872,C1804,P0314,2023-11-05 11:58:35,4
O003193,C1599,P0470,2023-11-05 15:25:47,4
O003071,C0055,P0181,2023-11-05 17:40:48,4
O000253,C0410,P0147,2023-11-05 19:20:09,5
O008127,C0246,P0233,2023-11-05 20:23:53,2
O000696,C1335,P0312,2023-11-05 20:28:51,3
O007610,C0717,P0341,2023-11-05 23:25:28,5
O006993,C1866,P0419,2023-11-05 23:32:56,5
O000335,C1699,P0289,2023-11-05 23:51:15,2
O006425,C0517,P0120,2023-11-06 01:21:37,1
O002065,C0156,P0007,2023-11-06 01:35:22,5
O007780,C1664,P0495,2023-11-06 07:37:22,5
O005045,C1242,P0461,2023-11-06 09:03:31,3
O000131,C1604,P0325,2023-11-06 09:34:27,3
O000467,C1349,P0382,2023-11-06 10:03:52,3
O001929,C1082,P0204,2023-11-06 10:30:22,1
O009804,C1123,P0373,2023-11-06 13:47:51,2
O009111,C0533,P0430,2023-11-06 14:55:42,5
O005423,C0600,P0035,2023-11-06 17:37:36,5
O008056,C1514,P0184,2023-11-06 18:25:06,4
O005779,C1612,P0455,2023-11-06 21:00:38,3
O000955,C0632,P0190,2023-11-07 00:11:15,3
O005405,C0439,P0158,2023-11-07 02:41:54,3
O000293,C0011,P0249,2023-11-07 04:17:42,3
O007574,C1424,P0194,2023-11-07 05:05:57,2
O003257,C1361,P0073,2023-11-07 08:26:51,3
O001939,C1540,P0034,2023-11-07 10:29:29,5
O007070,C1634,P0019,2023-11-07 11:39:23,1
O000597,C0753,P0054,2023-11-07 13:04:10,2
O003491,C0365,P0046,2023-11-07 16:22:17,4
O008754,C0326,P0256,2023-11-07 16:48:14,4
O008434,C0963,P0257,2023-11-07 21:34:08,1
O006655,C1576,P0146,2023-11-08 02:38:11,1
O003179,C0253,P0315,2023-11-08 02:40:27,3
O009805,C1345,P0202,2023-11-08 04:09:52,4
O002410,C0647,P0228,2023-11-08 10:57:49,2
O004633,C1935,P0176,2023-11-08 11:14:55,2
O006080,C0959,P0097,2023-11-08 11:32:40,3
O009506,C1033,P0301,2023-11-08 12:28:52,4
O004738,C1831,P0099,2023-11-08 13:00:23,2
O000521,C0365,P0415,2023-11-08 13:16:20,4
O001745,C1448,P0447,2023-11-08 16:21:23,2
O007553,C0418,P0013,2023-11-08 17:53:29,3
O003235,C0338,P0370,2023-11-08 18:41:17,5
O008729,C1944,P0408,2023-11-08 20:24:05,5
O002009,C0268,P0329,2023-11-08 23:32:58,2
O000897,C1691,P0222,2023-11-09 01:25:34,2
O004374,C0513,P0145,2023-11-09 04:29:21,3
O002519,C1519,P0110,2023-11-09 05:14:22,1
O008690,C1887,P0002,2023-11-09 06:00:51,4
O000543,C0014,P0467,2023-11-09 06:19:22,3
O001915,C1060,P0088,2023-11-09 06:23:41,4
O002719,C0135,P0196,2023-11-09 08:40:31,4
O004056,C1759,P0173,2023-11-09 08:43:41,2
O002704,C0384,P0175,2023-11-09 09:35:16,2
O008774,C1069,P0183,2023-11-09 11:01:54,3
O001829,C1606,P0027,2023-11-09 13:27:26,5
O005047,C1115,P0284,2023-11-09 14:16:12,2
O007652,C0919,P0296,2023-11-09 14:51:51,5
O008103,C0590,P0285,2023-11-09 15:19:22,5
O008251,C1571,P0031,2023-11-09 18:01:02,2
O005297,C0513,P0270,2023-11-09 19:44:45,5
O005479,C1996,P0234,2023-11-09 20:41:56,5
O009167,C0218,P0105,2023-11-09 22:01:45,2
O006904,C0911,P0323,2023-11-09 23:29:31,4
O000970,C1095,P0285,2023-11-10 03:15:46,5
O006291,C0769,P0308,2023-11-10 05:36:21,3
O009811,C1318,P0451,2023-11-10 07:56:36,5
O007564,C0930,P0446,2023-11-10 09:26:15,2
O008934,C0071,P0500,2023-11-10 10:03:39,3
O005830,C0366,P0029,2023-11-10 11:33:06,3
O003815,C0472,P0156,2023-11-10 11:58:07,3
O009442,C1260,P0142,2023-11-10 12:17:14,4
O006390,C0746,P0208,2023-11-10 12:29:19,1
O007774,C1242,P0302,2023-11-10 12:54:21,2
O001047,C0638,P0048,2023-11-10 12:55:11,5
O001423,C0119,P0317,2023-11-10 14:05:30,2
O008045,C0382,P0487,2023-11-10 18:10:59,1
O004240,C1050,P0485,2023-11-10 19:28:14,2
O002398,C0423,P0001,2023-11-10 19:38:39,1
O004138,C1604,P0253,2023-11-10 19:40:19,4
O003664,C0702,P0302,2023-11-10 21:55:42,3
O003594,C1228,P0265,2023-11-10 22:00:48,3
O006699,C1824,P0136,2023-11-10 23:43:25,1
O009972,C0459,P0325,2023-11-11 00:24:15,5
O000742,C1220,P0108,2023-11-11 02:38:36,2
O000323,C0999,P0302,2023-11-11 03:22:02,1
O000891,C1597,P0309,2023-11-11 04:56:54,4
O005133,C0929,P0159,2023-11-11 04:58:55,5
O009593,C1812,P0389,2023-11-11 04:59:10,3
O007529,C1963,P0484,2023-11-11 05:01:38,3
O008226,C1168,P0437,2023-11-11 06:39:13,3
O000727,C0309,P0106,2023-11-11 07:32:54,3
O003056,C0508,P0128,2023-11-11 08:11:25,5
O003880,C0023,P0242,2023-11-11 11:17:31,4
O008832,C0324,P0473,2023-11-11 14:15:21,2
O008155,C0113,P0306,2023-11-11 14:44:36,4
O001245,C0180,P0206,2023-11-11 16:11:33,1
O009082,C1038,P0252,2023-11-11 16:30:53,2
O001528,C1308,P0171,2023-11-11 22:04:36,3
O007231,C1191,P0019,2023-11-11 22:25:15,4
O002037,C0631,P0105,2023-11-11 22:36:24,4
O000590,C0393,P0447,2023-11-12 00:01:09,2
O002191,C0352,P0330,2023-11-12 04:25:10,2
O003708,C1865,P0482,2023-11-12 08:20:25,3
O003457,C1681,P0385,2023-11-12 09:58:02,2
O004405,C1501,P0060,2023-11-12 10:16:29,1
O007530,C1940,P0094,2023-11-12 11:47:15,2
O005435,C1127,P0410,2023-11-12 12:12:25,3
O001701,C0997,P0444,2023-11-12 15:35:05,4
O005035,C0675,P0442,2023-11-12 19:36:10,1
O007833,C1906,P0083,2023-11-12 22:20:57,4
O004819,C0843,P0234,2023-11-12 22:49:03,2
O007277,C0597,P0314,2023-11-13 01:28:53,1
O004922,C0294,P0108,2023-11-13 01:38:06,2
O001860,C0041,P0129,2023-11-13 01:39:50,4
O002031,C0480,P0049,2023-11-13 05:55:31,5
O001942,C1567,P0141,2023-11-13 08:22:26,3
O000490,C0403,P0047,2023-11-13 09:06:15,1
O008978,C0999,P0021,2023-11-13 11:19:33,1
O000423,C0042,P0269,2023-11-13 13:08:16,4
O001127,C0124,P0432,2023-11-13 13:52:30,2
O007487,C0457,P0369,2023-11-13 17:13:22,2
O001539,C0515,P0315,2023-11-13 19:45:57,5
O008175,C0700,P0281,2023-11-13 20:15:45,4
O000035,C0515,P0076,2023-11-13 20:51:25,2
O004344,C0823,P0318,2023-11-14 00:03:34,3
O004534,C1992,P0163,2023-11-14 01:31:40,3
O001820,C0642,P0339,2023-11-14 01:38:02,1
O008952,C1420,P0126,2023-11-14 02:15:54,1
O006790,C0995,P0423,2023-11-14 02:32:08,2
O005107,C1905,P0245,2023-11-14 04:22:57,2
O001439,C1469,P0459,2023-11-14 09:01:41,2
O001896,C0365,P0452,2023-11-14 11:38:01,5
O003774,C0905,P0178,2023-11-14 11:45:58,5
O001679,C1223,P0492,2023-11-14 14:16:11,4
O005947,C0273,P0105,2023-11-14 16:04:50,5
O002241,C1066,P0286,2023-11-14 16:46:20,3
O002477,C0505,P0047,2023-11-14 21:19:26,3
O000683,C1350,P0482,2023-11-14 22:19:37,2
O009286,C0907,P0344,2023-11-14 23:44:54,1
O005914,C1372,P0049,2023-11-15 00:05:38,1
O008433,C1579,P0199,2023-11-15 00:48:19,2
O003401,C1193,P0382,2023-11-15 04:35:11,2
O003916,C0346,P0028,2023-11-15 05:00:27,1
O007222,C1864,P0011,2023-11-15 05:18:50,1
O001588,C1152,P0277,2023-11-15 06:40:19,3
O002238,C1424,P0406,2023-11-15 13:05:17,5
O003353,C1566,P0121,2023-11-15 20:48:07,5
O005442,C0098,P0075,2023-11-15 20:56:33,3
O000956,C0140,P0423,2023-11-15 21:16:54,1
O004809,C1482,P0303,2023-11-15 21:31:03,2
O004626,C0714,P0500,2023-11-16 02:49:14,4
O008172,C1465,P0488,2023-11-16 05:45:20,2
O000593,C1843,P0221,2023-11-16 14:51:44,2
O008546,C0753,P0127,2023-11-16 15:32:52,1
O004532,C1466,P0467,2023-11-16 18:36:44,1
O006569,C0403,P0100,2023-11-16 20:25:56,3
O009465,C1923,P0476,2023-11-16 22:09:25,5
O002169,C1649,P0498,2023-11-17 03:50:42,3
O004925,C1187,P0044,2023-11-17 06:09:53,1
O003445,C0398,P0449,2023-11-17 06:15:16,1
O000589,C1567,P0440,2023-11-17 06:53:36,4
O000158,C0128,P0020,2023-11-17 08:44:12,5
O001536,C0412,P0049,2023-11-17 09:37:47,1
O008895,C0212,P0211,2023-11-17 14:26:52,1
O006610,C0988,P0389,2023-11-17 16:44:41,2
O006075,C1418,P0474,2023-11-17 20:14:46,2
O008823,C1644,P0046,2023-11-17 20:29:29,4
O000363,C0676,P0235,2023-11-17 23:00:35,1
O009401,C0822,P0159,2023-11-18 03:18:07,5
O003391,C1962,P0254,2023-11-18 05:43:19,4
O009920,C0713,P0382,2023-11-18 09:43:44,1
O004274,C0823,P0348,2023-11-18 10:03:59,1
O002069,C0690,P0077,2023-11-18 11:34:20,1
O006918,C1324,P0111,2023-11-18 12:42:00,1
O004797,C1340,P0336,2023-11-18 13:19:57,2
O004753,C0415,P0411,2023-11-18 13:26:19,2
O008340,C1316,P0218,2023-11-18 13:26:31,3
O007374,C1627,P0165,2023-11-18 15:59:03,4
O000459,C1284,P0152,2023-11-18 16:00:06,1
O007937,C0657,P0454,2023-11-18 17:52:59,2
O002504,C0331,P0174,2023-11-18 21:30:09,3
O003558,C0162,P0451,2023-11-18 22:01:38,2
O009718,C1798,P0153,2023-11-18 22:26:16,3
O004843,C1866,P0045,2023-11-19 00:49:55,2
O005954,C1521,P0270,2023-11-19 01:37:47,1
O008107,C0677,P0438,2023-11-19 01:51:00,1
O007713,C1323,P0277,2023-11-19 03:45:14,3
O006982,C1751,P0426,2023-11-19 04:39:51,2
O002118,C0718,P0144,2023-11-19 09:55:49,5
O009001,C1958,P0131,2023-11-19 10:13:02,4
O002177,C0217,P0273,2023-11-19 12:07:12,1
O001930,C0202,P0369,2023-11-19 12:22:47,5
O002292,C1975,P0143,2023-11-19 13:37:31,4
O004654,C0829,P0242,2023-11-19 13:44:40,4
O005629,C0525,P0365,2023-11-19 14:22:13,3
O004365,C0705,P0270,2023-11-19 16:03:24,3
O002857,C1114,P0157,2023-11-19 16:38:30,1
O000149,C1627,P0161,2023-11-19 19:01:29,3
O006677,C1695,P0380,2023-11-19 20:41:43,5
O003613,C0672,P0392,2023-11-19 21:01:32,2
O007335,C0451,P0010,2023-11-19 21:06:47,5
O000306,C0614,P0273,2023-11-19 21:39:28,5
O002267,C1049,P0383,2023-11-19 21:45:24,5
O006318,C1779,P0317,2023-11-20 01:06:29,3
O005157,C1080,P0102,2023-11-20 01:20:19,3
O005973,C1626,P0017,2023-11-20 04:51:23,3
O000232,C0069,P0333,2023-11-20 05:21:34,5
O009410,C1347,P0376,2023-11-20 06:07:35,1
O000424,C1930,P0468,2023-11-20 08:32:05,3
O009951,C0895,P0411,2023-11-20 10:10:24,3
O008406,C0250,P0140,2023-11-20 10:30:44,5
O008955,C0323,P0277,2023-11-20 10:51:54,2
O008704,C0968,P0079,2023-11-20 13:47:13,2
O005950,C1430,P0218,2023-11-20 14:28:07,5
O005628,C0512,P0305,2023-11-20 15:11:50,4
O002649,C0007,P0155,2023-11-20 18:02:33,5
O003746,C1403,P0225,2023-11-20 19:15:10,4
O005907,C0515,P0372,2023-11-20 19:42:25,2
O005211,C0444,P0469,2023-11-20 19:53:35,3
O006909,C1811,P0457,2023-11-20 20:17:51,4
O003952,C1323,P0166,2023-11-20 20:21:46,5
O003604,C0840,P0247,2023-11-20 20:42:23,2
O006310,C0438,P0032,2023-11-21 00:15:26,1
O003848,C1835,P0104,2023-11-21 01:08:07,5
O001562,C0426,P0079,2023-11-21 04:38:40,1
O006630,C1384,P0495,2023-11-21 05:59:12,1
O009496,C1731,P0134,2023-11-21 08:32:38,5
O003183,C0687,P0187,2023-11-21 08:48:33,1
O007991,C0752,P0316,2023-11-21 09:06:38,3
O000257,C0083,P0206,2023-11-21 10:45:26,2
O001377,C0071,P0252,2023-11-21 13:52:51,3
O006281,C1606,P0350,2023-11-21 16:54:36,5
O006312,C1929,P0092,2023-11-21 17:15:42,3
O008116,C1381,P0084,2023-11-21 17:23:50,3
O009561,C1981,P0179,2023-11-21 18:39:01,2
O005283,C0179,P0343,2023-11-21 19:17:20,1
O002807,C1947,P0464,2023-11-21 19:38:10,4
O003441,C1055,P0247,2023-11-21 20:08:49,4
O001738,C0848,P0333,2023-11-21 21:50:59,1
O003061,C1257,P0464,2023-11-21 22:53:38,1
O001849,C0565,P0114,2023-11-22 05:37:08,5
O008524,C0348,P0122,2023-11-22 08:27:39,4
O005131,C1275,P0318,2023-11-22 10:16:27,1
O006465,C0062,P0010,2023-11-22 10:26:21,4
O002557,C0930,P0138,2023-11-22 10:56:02,3
O000110,C1347,P0452,2023-11-22 11:46:49,5
O006071,C0616,P0492,2023-11-22 12:23:48,4
O002047,C1712,P0367,2023-11-22 12:27:01,3
O009087,C1670,P0032,2023-11-22 12:59:11,5
O007854,C0562,P0450,2023-11-22 14:10:47,4
O009321,C1709,P0448,2023-11-22 14:21:06,1
O000173,C1725,P0313,2023-11-22 15:34:24,2
O004565,C0591,P0207,2023-11-22 17:14:05,5
O007910,C1650,P0062,2023-11-22 18:19:01,5
O005556,C1192,P0361,2023-11-22 20:34:13,5
O005905,C0403,P0067,2023-11-22 22:51:45,3
O004578,C1630,P0403,2023-11-22 23:17:05,1
O009771,C1497,P0257,2023-11-23 00:00:10,4
O002547,C0844,P0379,2023-11-23 03:54:31,1
O004296,C0358,P0202,2023-11-23 04:26:36,5
O001053,C1831,P0191,2023-11-23 07:09:08,5
O003247,C0513,P0041,2023-11-23 10:07:07,2
O009056,C1816,P0285,2023-11-23 14:54:42,1
O000718,C0545,P0132,2023-11-23 15:54:58,3
O009283,C0206,P0401,2023-11-23 18:12:31,3
O007166,C0198,P0391,2023-11-23 18:47:17,1
O002841,C0016,P0357,2023-11-23 21:47:23,4
O009829,C1001,P0124,2023-11-23 22:26:09,5
O001083,C1701,P0258,2023-11-24 02:16:26,1
O007128,C0973,P0124,2023-11-24 03:38:23,4
O007239,C1074,P0383,2023-11-24 06:22:36,3
O004075,C0489,P0020,2023-11-24 12:33:45,3
O004127,C0246,P0088,2023-11-24 12:54:44,4
O007001,C1106,P0229,2023-11-24 17:09:38,2
O006372,C1943,P0415,2023-11-24 17:12:33,1
O007088,C0244,P0460,2023-11-24 23:22:23,4
O003842,C0055,P0492,2023-11-24 23:54:32,3
O009054,C0790,P0124,2023-11-25 02:48:05,2
O001408,C0308,P0226,2023-11-25 03:32:43,1
O005480,C1399,P0109,2023-11-25 07:25:48,1
O008793,C0681,P0216,2023-11-25 07:29:10,3
O008592,C1773,P0409,2023-11-25 10:29:48,5
O007869,C1263,P0452,2023-11-25 14:46:23,1
O001267,C1375,P0381,2023-11-25 16:13:25,5
O001885,C0122,P0014,2023-11-25 18:14:00,2
O006109,C1829,P0059,2023-11-25 18:33:45,4
O008405,C1618,P0317,2023-11-25 20:39:19,3
O001460,C1199,P0480,2023-11-25 22:24:36,3
O003477,C0027,P0026,2023-11-26 00:03:13,3
O009769,C1719,P0060,2023-11-26 00:18:07,3
O006098,C1890,P0061,2023-11-26 00:43:46,5
O008153,C1835,P0245,2023-11-26 04:49:47,4
O006093,C1841,P0225,2023-11-26 05:19:47,4
O004158,C1921,P0130,2023-11-26 05:50:58,2
O008225,C1199,P0435,2023-11-26 06:09:16,4
O004427,C0495,P0201,2023-11-26 10:18:36,1
O005932,C1514,P0209,2023-11-26 12:57:58,5
O005043,C1579,P0193,2023-11-26 14:24:55,2
O001726,C0189,P0114,2023-11-26 14:56:19,2
O001787,C1080,P0133,2023-11-26 16:22:27,3
O004858,C0642,P0418,2023-11-26 18:34:24,1
O002033,C0208,P0035,2023-11-26 21:57:22,3
O001396,C0545,P0459,2023-11-26 22:19:34,1
O001615,C1455,P0430,2023-11-26 22:26:36,3
O006914,C1838,P0175,2023-11-26 23:29:18,5
O000450,C1871,P0332,2023-11-27 00:56:44,4
O003108,C1225,P0347,2023-11-27 01:21:45,2
